simulation,period,t0,ecc,per0,q,sma,incl,reqv1,reqv2,teff1,teff2,grb1,grb2,alb1,alb2,l3
00022,5.57127,0.13317,0.00000,0.00000,0.16184,15.55470,67.11033,2.09590,0.73315,9118.66919,4270.15400,0.99613,0.23180,0.89279,0.66175,0.00000
00023,11.47996,-0.61907,0.00000,0.00000,0.13886,23.58085,88.32828,1.37534,1.40396,9918.39882,10693.10256,0.57498,0.85099,0.39977,0.26815,0.00000
00024,16.74012,0.28942,0.00000,0.00000,0.80526,37.36109,86.00370,2.10305,0.60964,14349.10447,4083.66279,0.02149,0.16892,0.98433,0.54646,0.00000
00025,23.81233,0.39990,0.00000,0.00000,1.02166,44.43660,72.20497,2.89746,0.85807,7094.64310,12029.46004,0.43881,0.29539,0.84740,0.63637,0.00000
00026,2.31151,0.68751,0.00000,0.00000,1.32978,10.41802,70.29515,1.26469,4.01955,14371.65118,4563.48162,0.37336,0.04810,0.62198,0.96616,0.00000
00027,10.45254,0.81544,0.00000,0.00000,0.50568,24.41359,86.90401,4.03448,2.50520,11748.75300,12688.72138,0.55889,0.59612,0.09003,0.22116,0.00000
00028,18.71606,-0.66933,0.00000,0.00000,1.01795,40.33910,83.00932,1.92943,0.96461,8439.80551,10469.30603,0.70983,0.12687,0.66839,0.18205,0.00000
00029,9.49098,0.48800,0.00000,0.00000,1.15052,26.89772,46.70808,5.79745,2.26234,4450.26417,6179.51005,0.85047,0.83549,0.65823,0.43907,0.00000
00030,20.49752,-0.72863,0.00000,0.00000,1.33871,43.06958,65.27667,1.82246,3.32134,11432.74195,9144.49012,0.53062,0.62570,0.23710,0.82232,0.00000
00031,5.26131,-0.98575,0.00000,0.00000,1.01800,17.32380,83.25017,2.05539,1.33742,11075.28471,5307.16527,0.54868,0.75820,0.82206,0.24516,0.00000
00032,18.43446,0.85309,0.00000,0.00000,1.49438,40.52874,51.74229,3.43697,0.95467,9301.15967,14150.89010,0.48435,0.08105,0.52913,0.41132,0.00000
00033,5.26985,0.27740,0.00000,0.00000,1.31203,17.59080,54.57472,3.16783,2.94657,9317.06327,13993.71154,0.06207,0.84926,0.39247,0.26059,0.00000
00034,7.79611,-0.08503,0.00000,0.00000,0.45745,20.36595,46.27546,4.00924,2.71255,10545.77403,9530.61317,0.91083,0.93710,0.65525,0.74055,0.00000
00035,19.71918,-0.01238,0.00000,0.00000,0.27542,33.34597,75.45940,0.85346,1.07632,3966.02185,3828.98385,0.28957,0.29192,0.18826,0.88441,0.00000
00036,20.54417,-0.50679,0.00000,0.00000,0.12935,36.15043,62.59554,0.80223,2.09545,5579.71435,10544.29742,0.12128,0.99743,0.89351,0.23022,0.00000
00037,20.84730,-0.69560,0.00000,0.00000,0.14701,35.53594,73.29387,3.60307,0.29224,14717.06437,10969.94631,0.48690,0.66031,0.49752,0.70349,0.00000
00038,10.40104,-0.17273,0.00000,0.00000,0.89952,25.27005,88.88288,1.67759,4.50414,6656.36907,5686.80727,0.46735,0.04958,0.54743,0.90294,0.00000
00039,7.56347,0.12315,0.00000,0.00000,1.38660,22.97296,73.44791,3.81060,5.56431,5253.47410,7053.58799,0.21348,0.52724,0.47129,0.57260,0.00000
00040,4.74494,-0.30667,0.00000,0.00000,0.11633,13.73601,46.78488,2.69208,1.31046,12740.67173,11545.30150,0.44637,0.76580,0.51431,0.92182,0.00000
00041,10.85808,0.76276,0.00000,0.00000,1.36278,27.48981,68.93463,4.01339,1.48482,4399.84622,6553.75814,0.16953,0.19044,0.25512,0.76673,0.00000
00042,16.04823,-0.33052,0.00000,0.00000,1.35498,39.72524,87.85527,0.78838,6.47132,7047.12506,5032.38312,0.06123,0.06556,0.01747,0.59092,0.00000
00043,17.09305,0.12739,0.00000,0.00000,1.41336,39.16768,88.66279,0.65198,3.31187,4362.99594,6982.94541,0.57644,0.45949,0.49054,0.52656,0.00000
00044,22.92826,0.72457,0.00000,0.00000,1.16248,46.91079,56.72467,1.31320,5.22746,5136.57337,8838.01583,0.36277,0.28655,0.33253,0.73206,0.00000
00045,23.94820,-0.53240,0.00000,0.00000,0.41762,42.83707,59.84478,0.74425,0.38623,12634.78036,11183.28031,0.75751,0.55150,0.62633,0.05048,0.00000
00046,17.31852,0.78540,0.00000,0.00000,0.94006,38.61961,69.77117,0.61031,2.57854,7550.21909,12418.91934,0.64950,0.77235,0.33069,0.14535,0.00000
00047,10.95239,0.58938,0.00000,0.00000,0.53834,24.71816,79.42120,0.55789,1.24375,9262.21471,6795.38101,0.28885,0.37265,0.47928,0.09488,0.00000
00048,14.75367,0.26000,0.00000,0.00000,0.32940,30.77606,63.90569,5.31662,1.23240,8477.90478,12278.61132,0.69461,0.75611,0.65533,0.62683,0.00000
00049,16.37196,0.93917,0.00000,0.00000,1.47519,40.87642,86.29421,0.71929,0.79015,14499.67502,6525.70249,0.21466,0.35062,0.97943,0.15674,0.00000
00050,9.09637,0.11419,0.00000,0.00000,0.61386,23.07061,66.63574,1.35155,0.60053,12126.41371,14831.27058,0.37922,0.80732,0.30031,0.35976,0.00000
00051,14.72791,-0.50120,0.00000,0.00000,0.83465,34.43678,84.50293,5.29101,4.93797,6587.80091,5313.79474,0.28378,0.35073,0.20668,0.57544,0.00000
00052,13.19714,-0.46215,0.00000,0.00000,1.37369,33.94786,62.04447,5.08918,1.06798,10889.46443,9491.29728,0.17871,0.74956,0.26233,0.60854,0.00000
00053,2.95143,-0.24453,0.00000,0.00000,1.40487,12.62463,55.85514,5.36729,6.34985,4875.17857,9705.27539,0.50667,0.25187,0.23083,0.99763,0.00000
00054,6.45705,-0.47181,0.00000,0.00000,0.50694,17.57411,88.98280,0.63786,1.94595,14400.51444,5030.28188,0.31897,0.87346,0.07976,0.14003,0.00000
00055,19.48815,-0.94467,0.00000,0.00000,1.14087,39.70477,53.89988,0.68429,0.78220,8448.34423,12057.74915,0.19019,0.37786,0.44999,0.24329,0.00000
00056,22.25605,-0.93131,0.00000,0.00000,1.34224,48.42409,73.60171,2.64431,2.46415,13382.74197,11948.84067,0.44381,0.04312,0.94058,0.71586,0.00000
00057,19.32355,-0.94184,0.00000,0.00000,1.14341,40.77202,65.35795,0.66113,3.28896,13895.60268,7088.30381,0.50048,0.58631,0.50665,0.40643,0.00000
00058,21.06441,-0.73829,0.00000,0.00000,1.10812,44.02621,65.21715,2.82992,1.34679,11101.96049,9501.56632,0.67208,0.12253,0.33766,0.46864,0.00000
00059,0.74238,-0.54663,0.00000,0.00000,1.17796,4.89524,85.14527,0.79528,4.95620,4616.74985,5363.47831,0.96479,0.96295,0.22013,0.74427,0.00000
00060,12.12147,0.91429,0.00000,0.00000,1.42137,31.20383,88.30314,0.58295,6.57437,6727.51403,4529.68195,0.99693,0.67303,0.43415,0.29076,0.00000
00061,21.62338,0.15025,0.00000,0.00000,1.06603,45.58483,66.30947,5.53125,1.31322,13273.43996,11978.66585,0.26734,0.80722,0.04791,0.93260,0.00000
00062,4.24187,0.55115,0.00000,0.00000,0.29275,12.87516,76.42060,0.79297,0.42336,10444.63726,12539.14187,0.04126,0.39948,0.97196,0.43836,0.00000
00063,3.49517,-0.75542,0.00000,0.00000,0.86325,12.87813,79.60477,5.01954,1.19912,14099.91351,8525.33636,0.66035,0.08793,0.67780,0.82081,0.00000
00064,19.12156,0.30517,0.00000,0.00000,1.15946,41.50769,64.23698,2.78549,1.46130,13163.48452,13765.24842,0.88699,0.86988,0.22876,0.60300,0.00000
00065,16.79284,0.93088,0.00000,0.00000,0.19436,31.11247,87.29502,0.60435,1.15493,11723.06619,13041.83568,0.94489,0.77782,0.29617,0.32807,0.00000
00066,0.59816,0.80439,0.00000,0.00000,0.12279,3.13796,59.22751,4.82712,0.69283,3742.38690,6019.15435,0.49619,0.02208,0.14004,0.96127,0.00000
00067,16.89252,-0.21450,0.00000,0.00000,1.24477,37.37825,64.23894,1.14331,1.10941,6605.44064,10735.29811,0.74585,0.85912,0.17206,0.76707,0.00000
00068,10.11886,0.13500,0.00000,0.00000,0.16905,21.62400,53.83927,0.93321,0.61359,6370.67861,13494.62377,0.74415,0.02341,0.79094,0.07175,0.00000
00069,22.54274,-0.79885,0.00000,0.00000,0.42623,39.19571,84.31805,0.79090,0.40973,13090.62069,11346.32777,0.69326,0.28617,0.74039,0.14259,0.00000
00070,3.67009,0.36792,0.00000,0.00000,0.18120,10.88174,70.95230,1.77452,0.58642,11899.20960,5785.58181,0.38132,0.60188,0.35652,0.47363,0.00000
00071,24.20071,-0.10748,0.00000,0.00000,0.99319,48.25499,79.47728,3.32016,0.82007,12085.33115,9375.36247,0.36307,0.51025,0.13092,0.33413,0.00000
00072,6.60716,0.32206,0.00000,0.00000,0.84778,18.47500,79.03030,4.33557,1.21241,9214.68482,7046.23973,0.39951,0.47850,0.62775,0.85283,0.00000
00073,21.40091,-0.14279,0.00000,0.00000,1.07000,42.64394,52.65522,4.05104,2.45540,9248.89907,4934.84555,0.17690,0.28075,0.65800,0.26132,0.00000
00074,7.63383,0.97717,0.00000,0.00000,0.68003,20.97427,67.95590,1.23343,4.73158,9750.58818,11074.37552,0.24109,0.91589,0.94577,0.95612,0.00000
00075,2.60032,-0.07591,0.00000,0.00000,0.97831,11.08688,59.32173,3.61497,1.28620,6859.18548,6858.20384,0.82478,0.86673,0.98140,0.87846,0.00000
00076,7.07327,0.56488,0.00000,0.00000,0.84447,20.06540,59.81838,2.96104,1.18586,10312.84038,12775.35108,0.58885,0.99284,0.02700,0.63887,0.00000
00077,4.84062,-0.66975,0.00000,0.00000,0.67741,15.75452,72.82634,1.21731,3.81329,9976.28604,5656.31702,0.78127,0.07998,0.62450,0.36470,0.00000
00078,2.25442,0.58994,0.00000,0.00000,1.48666,9.83155,78.80812,2.35764,2.44295,5466.92556,3545.34876,0.61913,0.31501,0.93607,0.37181,0.00000
00079,5.90735,0.41962,0.00000,0.00000,1.33387,20.38295,59.99990,6.01717,4.94191,9150.25961,12756.02970,0.27263,0.27215,0.42636,0.88782,0.00000
00080,20.49000,-0.40947,0.00000,0.00000,0.52493,37.24207,83.17760,3.16494,2.91271,8029.37473,13538.30555,0.12608,0.61773,0.79258,0.90481,0.00000
00081,21.18522,0.21236,0.00000,0.00000,1.39621,44.13391,88.31776,1.96977,1.83482,7770.03755,5180.94086,0.10462,0.28607,0.76980,0.92678,0.00000
00082,17.36773,-0.73363,0.00000,0.00000,0.67081,35.56378,72.87840,3.00523,4.05609,5844.69710,13390.53194,0.59822,0.83704,0.41579,0.11263,0.00000
00083,9.57063,-0.40128,0.00000,0.00000,1.00745,26.47644,53.78673,0.80276,5.35518,10792.42773,10343.05210,0.62819,0.77298,0.48105,0.15551,0.00000
00084,7.48634,0.08236,0.00000,0.00000,1.19981,21.43012,83.13725,0.87731,2.16900,6089.10880,8037.35676,0.04714,0.12006,0.72466,0.83659,0.00000
00085,17.93306,0.66510,0.00000,0.00000,0.65275,35.73391,72.57088,4.84609,3.00964,11297.47990,13741.83168,0.07883,0.51888,0.25311,0.02217,0.00000
00086,17.43961,-0.84735,0.00000,0.00000,1.01849,36.22094,88.58655,1.62978,2.26437,12077.25547,9987.33650,0.01578,0.35608,0.07839,0.64145,0.00000
00087,20.68453,0.13470,0.00000,0.00000,1.43427,46.94814,53.78682,1.79370,2.28385,7859.65339,9476.65523,0.16948,0.59776,0.41575,0.89431,0.00000
00088,3.59885,0.12675,0.00000,0.00000,1.26993,14.50788,60.72130,2.73042,6.20938,13407.15134,5939.26388,0.70785,0.54153,0.72117,0.42749,0.00000
00089,16.56190,0.53049,0.00000,0.00000,0.38058,31.95934,76.93243,2.83613,2.37342,7771.03037,7483.97659,0.62734,0.46093,0.47651,0.78789,0.00000
00090,11.87657,0.17919,0.00000,0.00000,1.27142,29.15848,85.48627,1.92729,0.90558,5017.68824,12193.53638,0.47226,0.67182,0.57582,0.58531,0.00000
00091,10.88116,-0.93646,0.00000,0.00000,1.19730,27.50003,72.48081,0.92143,5.64945,9915.30576,5782.48877,0.79277,0.32724,0.34479,0.58378,0.00000
00092,6.32131,-0.07005,0.00000,0.00000,0.42486,17.18805,60.94821,0.96595,0.70974,7448.52106,7380.95428,0.31089,0.43753,0.41371,0.79437,0.00000
00093,15.06627,0.33770,0.00000,0.00000,0.99469,34.72862,84.19477,4.32190,2.51050,6884.59577,4369.23350,0.76014,0.54032,0.04022,0.83825,0.00000
00094,0.84543,0.14608,0.00000,0.00000,0.38733,4.61418,55.97301,0.92722,3.68524,9959.32483,9015.34619,0.74361,0.63384,0.49893,0.42653,0.00000
00095,23.37289,-0.42678,0.00000,0.00000,0.67408,44.54293,48.95619,1.85397,0.97617,6262.63292,9625.86758,0.35958,0.47066,0.78987,0.28912,0.00000
00096,0.15968,-0.31039,0.00000,0.00000,0.45097,1.53371,53.82906,1.08173,0.90849,8316.28839,9102.94364,0.44620,0.51425,0.56902,0.45404,0.00000
00097,0.71729,-0.74765,0.00000,0.00000,0.11046,3.68915,87.98710,2.24938,1.18345,8548.12740,6353.18792,0.08439,0.13305,0.82270,0.58544,0.00000
00098,11.36072,0.67213,0.00000,0.00000,0.50166,26.23853,68.90900,2.29129,3.00868,6934.84275,11341.57482,0.14608,0.29814,0.87349,0.40635,0.00000
00099,20.17746,0.40191,0.00000,0.00000,1.46996,42.68433,71.99067,3.20822,0.98253,14463.44539,8364.70344,0.93067,0.91837,0.68004,0.65606,0.00000
00100,16.57760,0.52892,0.00000,0.00000,0.48178,33.75597,70.37296,0.91903,2.31422,6757.91338,13484.43894,0.52428,0.34770,0.69060,0.38386,0.00000
00101,14.26088,0.88127,0.00000,0.00000,0.33813,29.81046,68.56986,3.77304,0.74273,7691.10232,12090.84255,0.17558,0.94143,0.53641,0.17236,0.00000
00102,16.16522,-0.66003,0.00000,0.00000,1.14066,37.31367,89.10783,0.75586,2.10802,4964.21228,13089.64942,0.59617,0.65117,0.47607,0.92607,0.00000
00103,8.84296,0.83601,0.00000,0.00000,0.49238,22.82123,56.92431,3.81282,1.50133,7440.78107,6627.25332,0.47578,0.20694,0.56730,0.54170,0.00000
00104,11.70646,0.84255,0.00000,0.00000,1.33340,29.08931,58.12920,1.36856,2.13778,9998.20581,4513.10552,0.25400,0.14304,0.58720,0.68643,0.00000
00105,12.17417,-0.98916,0.00000,0.00000,0.63408,27.52408,55.07505,1.22476,0.79620,10761.52763,11047.60826,0.08867,0.06507,0.18119,0.34118,0.00000
00106,4.75029,0.61896,0.00000,0.00000,0.39929,14.13375,71.38384,0.91869,1.40852,13882.77947,9496.42629,0.02833,0.64167,0.74497,0.00884,0.00000
00107,13.39656,0.23830,0.00000,0.00000,1.30306,32.44980,68.68773,1.13136,0.63168,10730.72241,11217.43938,0.88821,0.72295,0.38811,0.46677,0.00000
00108,4.99797,-0.20762,0.00000,0.00000,0.20074,13.71069,68.16734,0.76382,0.34150,12062.30810,7359.48240,0.03246,0.57634,0.20899,0.07448,0.00000
00109,17.86915,-0.68510,0.00000,0.00000,0.34771,34.77516,89.97526,0.83727,1.11677,10380.19689,14467.67267,0.82462,0.82649,0.74533,0.01930,0.00000
00110,2.80992,0.70129,0.00000,0.00000,1.05725,11.57205,61.15780,1.48022,1.48430,4223.05967,7289.83349,0.82536,0.51879,0.72413,0.92825,0.00000
00111,18.69600,0.20067,0.00000,0.00000,0.17143,34.12602,74.17204,1.85617,1.53059,3789.46900,5610.68263,0.09419,0.73812,0.81625,0.38641,0.00000
00112,18.87253,0.42802,0.00000,0.00000,0.54402,37.50480,62.21149,1.90417,1.66561,12285.95839,9675.45877,0.44776,0.55801,0.84095,0.30597,0.00000
00113,17.75408,-0.51334,0.00000,0.00000,1.47404,41.18670,75.35283,0.76022,0.76095,13092.42589,9433.03087,0.25553,0.90540,0.16069,0.60434,0.00000
00114,20.07626,-0.21360,0.00000,0.00000,0.79964,39.60734,52.52099,0.82280,3.78220,6512.72893,13764.45507,0.95675,0.67090,0.33553,0.00754,0.00000
00115,24.13153,-0.42651,0.00000,0.00000,1.32696,50.85641,85.04229,1.59980,5.72869,7508.53275,13717.89867,0.83663,0.29506,0.29393,0.83723,0.00000
00116,21.69607,0.57421,0.00000,0.00000,0.84716,42.20291,80.94296,4.56292,0.83744,9606.99957,11292.71501,0.30459,0.79282,0.62413,0.40486,0.00000
00117,6.87803,0.18994,0.00000,0.00000,1.39134,21.17797,58.64161,1.53704,2.88780,14757.38088,6314.65985,0.21798,0.64066,0.58135,0.26442,0.00000
00118,20.10949,-0.96973,0.00000,0.00000,0.63022,37.63136,86.51842,2.45134,0.67704,13487.11246,11447.95297,0.18215,0.75960,0.51441,0.20661,0.00000
00119,19.09153,-0.54088,0.00000,0.00000,1.02851,39.14791,81.62161,2.45239,0.78934,9303.67350,9183.66234,0.00967,0.76133,0.54030,0.93035,0.00000
00120,17.88714,0.02883,0.00000,0.00000,1.21154,41.50462,55.28811,3.05720,2.38267,13421.91697,5158.29821,0.08538,0.47654,0.11673,0.84587,0.00000
00121,17.32006,-0.89664,0.00000,0.00000,0.51208,35.03750,60.65490,2.11936,2.89953,12793.66716,5232.61577,0.03152,0.98418,0.22682,0.95431,0.00000
00122,3.99866,0.18413,0.00000,0.00000,0.54572,13.13912,47.94251,1.04405,1.05395,9196.72349,6582.63192,0.14143,0.12108,0.13694,0.95860,0.00000
00123,8.55547,-0.77550,0.00000,0.00000,0.47012,21.97748,76.06518,1.65374,0.91066,9576.34078,4603.84400,0.16600,0.27898,0.17712,0.19562,0.00000
00124,24.63480,-0.20592,0.00000,0.00000,1.18007,50.22940,63.65016,2.14896,3.58488,6164.68338,4440.42645,0.56833,0.07884,0.53533,0.35765,0.00000
00125,21.87453,0.43677,0.00000,0.00000,1.40874,48.25545,59.50662,4.17061,1.09769,14110.23834,10656.08692,0.49558,0.66864,0.87928,0.99432,0.00000
00126,11.98451,-0.44580,0.00000,0.00000,0.87927,29.84223,55.80685,2.11776,0.71422,7310.01071,10222.73243,0.80653,0.36065,0.72371,0.12738,0.00000
00127,9.61237,0.14614,0.00000,0.00000,0.69046,24.54164,83.55082,0.61628,2.98509,6625.59123,4452.05010,0.86708,0.28441,0.25284,0.28927,0.00000
00128,2.80266,0.22903,0.00000,0.00000,0.75719,10.82705,79.26326,1.68754,3.55128,6216.99447,8699.02326,0.43034,0.73015,0.93252,0.33247,0.00000
00129,15.70919,-0.52225,0.00000,0.00000,0.18065,30.79334,69.01322,4.65564,1.08733,11162.83573,3649.75660,0.35086,0.35515,0.70863,0.54276,0.00000
00130,10.02919,0.87601,0.00000,0.00000,0.73085,24.74319,88.96224,2.77111,2.80939,6096.11572,11277.98108,0.21991,0.78451,0.53790,0.13440,0.00000
00131,24.09686,0.04266,0.00000,0.00000,0.43444,42.47849,81.19647,0.61754,2.94395,11887.58873,7258.53674,0.26775,0.35689,0.12022,0.31975,0.00000
00132,21.59755,0.62169,0.00000,0.00000,0.34316,38.83851,77.35025,3.74412,3.07324,5819.92933,4031.95119,0.05924,0.70357,0.76969,0.49862,0.00000
00133,3.37232,-0.60907,0.00000,0.00000,1.25659,12.93868,89.93004,1.33141,1.61166,12578.73627,12341.67855,0.26982,0.47062,0.90738,0.41235,0.00000
00134,7.88198,-0.43213,0.00000,0.00000,0.58633,20.40154,50.01038,1.40010,1.18827,4608.13194,14201.96226,0.04817,0.44813,0.41429,0.47382,0.00000
00135,3.83250,0.18242,0.00000,0.00000,1.39826,15.03547,70.19543,3.57530,3.93591,4526.96050,13990.27781,0.40480,0.83018,0.89816,0.95250,0.00000
00136,18.33114,-0.57528,0.00000,0.00000,1.45081,43.12710,66.76473,1.92776,1.94915,9506.46519,9446.50967,0.52648,0.63178,0.91119,0.14875,0.00000
00137,6.76280,-0.11456,0.00000,0.00000,1.19168,21.43308,74.47764,0.78433,1.48369,9767.88030,5205.93940,0.65677,0.16153,0.19914,0.79401,0.00000
00138,12.69155,-0.04459,0.00000,0.00000,0.80896,28.69554,77.89994,0.63717,3.17561,7183.14962,14413.37040,0.77428,0.95999,0.06436,0.56236,0.00000
00139,15.86811,-0.23976,0.00000,0.00000,0.67588,33.02519,65.89935,3.24277,1.93794,6444.33193,7305.83614,0.06951,0.40432,0.03107,0.43377,0.00000
00140,24.36637,0.18440,0.00000,0.00000,0.46625,42.51045,56.08755,1.97153,1.28199,11220.80081,12217.08898,0.13775,0.39462,0.01213,0.41233,0.00000
00141,7.77586,-0.46510,0.00000,0.00000,0.27206,19.71297,88.02628,1.44820,0.93713,9511.20384,7077.97967,0.38791,0.62504,0.90721,0.53364,0.00000
00142,15.39283,-0.87528,0.00000,0.00000,1.23239,37.93252,63.24582,0.62842,3.77078,10646.12423,10140.06028,0.04909,0.84728,0.65006,0.74531,0.00000
00143,13.57352,0.85374,0.00000,0.00000,0.96472,31.82320,83.90066,3.33609,0.82290,13099.43926,6193.54909,0.34206,0.29647,0.76912,0.69555,0.00000
00144,21.25494,0.60510,0.00000,0.00000,1.07666,43.05507,58.21322,0.93273,1.98748,6512.11712,6565.85686,0.01760,0.49052,0.05139,0.94653,0.00000
00145,6.51711,0.46987,0.00000,0.00000,0.16865,17.13240,79.28224,4.72269,2.22119,12544.46444,7546.52566,0.71162,0.76358,0.14806,0.94159,0.00000
00146,17.12567,0.93183,0.00000,0.00000,0.64125,35.79272,55.26831,1.03956,0.58926,7311.04904,13183.66911,0.92446,0.40046,0.92690,0.48422,0.00000
00147,7.69277,0.26391,0.00000,0.00000,1.06960,22.93682,56.95482,3.03787,5.11389,4261.65644,7855.64032,0.71903,0.28116,0.51964,0.69816,0.00000
00148,17.37652,-0.46793,0.00000,0.00000,0.46537,35.62373,80.10487,3.28580,2.11234,10744.34873,14765.22232,0.83211,0.11182,0.37534,0.48013,0.00000
00149,13.76345,0.67118,0.00000,0.00000,1.29091,33.49160,61.25998,3.31133,4.92706,6630.57863,11298.04690,0.08222,0.93169,0.70866,0.76603,0.00000
00150,15.95908,-0.65422,0.00000,0.00000,1.21606,37.94457,85.14596,0.74819,5.12327,5003.08503,6008.31441,0.35971,0.79340,0.79612,0.03921,0.00000
00151,4.36671,0.85599,0.00000,0.00000,1.49143,16.60485,52.45240,1.09923,1.41583,9042.66693,4356.79156,0.52032,0.01252,0.08805,0.74503,0.00000
00152,18.52316,-0.77731,0.00000,0.00000,0.61729,38.42745,61.76517,0.87141,1.04566,7455.39147,9133.84898,0.36714,0.24761,0.68637,0.44962,0.00000
00153,17.78347,-0.70186,0.00000,0.00000,0.15524,33.00324,74.33437,3.38945,0.95736,9879.45886,5600.42510,0.69741,0.04558,0.55900,0.29785,0.00000
00154,13.75377,-0.61254,0.00000,0.00000,1.14665,32.99619,52.61502,1.10230,3.47126,9233.55766,6019.37483,0.66095,0.83140,0.75915,0.23543,0.00000
00155,15.12703,-0.15611,0.00000,0.00000,0.64014,30.98335,51.45597,0.80691,1.61314,12443.22476,10043.59442,0.51859,0.89517,0.37801,0.93679,0.00000
00156,9.09897,-0.71118,0.00000,0.00000,0.74081,23.85240,52.94126,2.16848,3.86958,8309.36812,4621.44654,0.26482,0.43143,0.67349,0.96219,0.00000
00157,20.15614,-0.13291,0.00000,0.00000,1.26648,44.61990,80.21034,3.72557,0.68180,4744.75704,9094.44020,0.59093,0.67188,0.45186,0.15761,0.00000
00158,15.59553,-0.25048,0.00000,0.00000,0.88302,32.91198,57.80818,2.10441,1.34467,10072.16090,12030.64429,0.98680,0.13008,0.82703,0.43823,0.00000
00159,10.88510,-0.64993,0.00000,0.00000,0.46224,25.04947,48.77189,5.11831,2.28307,10625.84640,10107.71516,0.95817,0.56688,0.05928,0.02158,0.00000
00160,12.86740,0.57691,0.00000,0.00000,0.29498,28.00936,55.18739,0.83558,0.35814,7773.18265,14862.09407,0.45202,0.25045,0.01674,0.36600,0.00000
00161,3.20584,0.93622,0.00000,0.00000,1.40331,12.66903,84.64665,2.35932,5.22804,6219.67172,10705.92646,0.70261,0.83906,0.47479,0.13479,0.00000
